Time (s),Level (m),Pressure (Pa),Temperature (C),Flow (m3/s)
0.6186816692352295,1.1649535105006567e-07,0.0011649535105006568,0.0,0.0
0.952869176864624,-1.0981953877993239e-07,-0.001098195387799324,3.3306903687414153,0.0
1.3581483364105225,0.3756965131443381,40.603555961671645,6.344423642270639,0.4055621985793707
1.754281759262085,1.0300611828206618,104.77402712121224,9.071362276139878,0.48216300332566486
2.127882242202759,1.6167658986359017,161.74149900576634,11.538798388752628,0.4966310265002555
2.4489905834198,2.1055649180330214,209.1594464522982,13.771426910057833,0.49936368309927914
2.8002631664276123,2.5124767008752342,248.65275460666285,15.79159273670908,0.49987981526177827
3.079566478729248,2.854632321839317,281.88099452825475,17.619514367300667,0.49997730003511603
3.507488965988159,3.1450946526439156,310.10441837769497,19.273486255897236,0.49999571253044806
3.8490123748779297,3.393539424325888,334.2535896883811,20.770061909079022,0.49999919020160377
4.175403594970703,3.607285779643726,355.0378525332837,22.12421955899951,0.49999984704883965
4.506986856460571,3.7920180886643253,373.003280335003,23.349512070567204,0.4999999711112573
4.813034534454346,3.9522545153712634,388.5927410529233,24.45820258307292,0.4999999945436214
5.0815651416778564,4.09165071293225,402.1528144641477,25.46138724380956,0.49999999896942326
5.3470892906188965,4.213210091836281,413.9819317862676,26.369106262043776,0.4999999998053491
5.628613710403442,4.319426941047232,424.3184625391986,27.190444394804967,0.4999999999632352
5.891140460968018,4.412393338983976,433.36412420485004,27.933621870187064,0.4999999999930561
6.1470911502838135,4.4938782265061885,441.29668940822273,28.606076658154297,0.4999999999986885
6.408611536026001,4.565385296543815,448.25693159005664,29.214538912244482,0.4999999999997522
6.669615983963013,4.628201307463122,454.37274084672543,29.765098327207774,0.4999999999999532
6.9501378536224365,4.683431142003617,459.7479395492357,30.263265086718544,0.499999999999991
